Language	ISO 639-3 Code	Type
Babine	bcr	Living
Babuza	bzg	Living
Bacama	bcy	Living
Bacanese Malay	btj	Living
Bada (Indonesia)	bhz	Living
Bada (Nigeria)	bau	Living
Badaga	bfq	Living
Bade	bde	Living
Badeshi	bdz	Living
Bädi Kanum	khd	Living
Badimaya	bia	Living
Badui	bac	Living
Badyara	pbp	Living
Baeggu	bvd	Living
Baelelea	bvc	Living
Baetora	btr	Living
Bafanji	bfj	Living
Bafaw-Balong	bwt	Living
Bafia	ksf	Living
Bafut	bfd	Living
Baga Binari	bcg	Living
Baga Koga	bgo	Living
Baga Manduri	bmd	Living
Baga Mboteni	bgm	Living
Baga Sitemu	bsp	Living
Bagheli	bfy	Living
Bagirmi	bmi	Living
Bagirmi Fulfulde	fui	Living
Bago-Kusuntu	bqg	Living
Bagri	bgq	Living
Bagupi	bpi	Living
Bagusa	bqb	Living
Bagvalal	kva	Living
Baha Buyang	yha	Living
Baham	bdw	Living
Bahamas Creole English	bah	Living
Baharna Arabic	abv	Living
Bahau	bhv	Living
Bahinemo	bjh	Living
Bahing	bhj	Living
Bahnar	bdq	Living
Bahonsuai	bsu	Living
Bai	bdj	Living
Baibai	bbf	Living
Baikeno	bkx	Living
Baima	bqh	Living
Baimak	bmx	Living
Bainouk-Gunyaamolo	bcz	Living
Bainouk-Gunyuño	bab	Living
Bainouk-Samik	bcb	Living
Baiso	bsw	Living
Baissa Fali	fah	Living
Bajan	bjs	Living
Bajelani	bjm	Living
Baka (Cameroon)	bkc	Living
Baka (Sudan)	bdh	Living
Bakairí	bkq	Living
Bakaka	bqz	Living
Bakhtiari	bqi	Living
Baki	bki	Living
Bakoko	bkh	Living
Bakole	kme	Living
Bakpinka	bbs	Living
Bakumpai	bkr	Living
Bakwé	bjw	Living
Balaesang	bls	Living
Balangao	blw	Living
Balangingi	sse	Living
Balanta-Ganja	bjt	Living
Balantak	blz	Living
Balanta-Kentohe	ble	Living
Balau	blg	Living
Baldemu	bdn	Living
Bali (Democratic Republic of Congo)	bcp	Living
Bali (Nigeria)	bcn	Living
Balinese	ban	Living
Balinese Malay	mhp	Living
Balkan Gagauz Turkish	bgx	Living
Balkan Romani	rmn	Living
Balo	bqo	Living
Baloi	biz	Living
Balti	bft	Living
Baltic Romani	rml	Living
Baluan-Pam	blq	Living
Baluchi	bal	Living
Bamako Sign Language	bog	Living
Bamali	bbq	Living
Bambalang	bmo	Living
Bambam	ptu	Living
Bambara	bam	Living
Bambassi	myf	Living
Bambili-Bambui	baw	Living
Bamenyam	bce	Living
Bamu	bcf	Living
Bamukumbit	bqt	Living
Bamun	bax	Living
Bamunka	bvm	Living
Bamwe	bmg	Living
Ban Khor Sign Language	bfk	Living
Bana	bcw	Living
Banao Itneg	bjx	Living
Banaro	byz	Living
Banda (Indonesia)	bnd	Living
Banda Malay	bpq	Living
Banda-Bambari	liy	Living
Banda-Banda	bpd	Living
Banda-Mbrès	bqk	Living
Banda-Ndélé	bfl	Living
Banda-Yangere	yaj	Living
Bandi	bza	Living
Bandial	bqj	Living
Bandjalang	bdy	Living
Bangala	bxg	Living
Bangandu	bgf	Living
Bangba	bbe	Living
Banggai	bgz	Living
Bangi	bni	Living
Bangime	dba	Living
Bangka	mfb	Living
Bangolan	bgj	Living
Bangubangu	bnx	Living
Bangwinji	bsj	Living
Baniwa	bwi	Living
Banjar	bjn	Living
Bankagooma	bxw	Living
Bankal	jjr	Living
Bankan Tey Dogon	dbw	Living
Bankon	abb	Living
Bannoni	bcm	Living
Bantawa	bap	Living
Bantayanon	bfx	Living
Bantik	bnq	Living
Bantoanon	bno	Living
Baoulé	bci	Living
Bara Malagasy	bhr	Living
Baraamu	brd	Living
Barai	bbb	Living
Barakai	baj	Living
Baram Kayan	kys	Living
Barama	bbg	Living
Barambu	brm	Living
Baramu	bmz	Living
Barapasi	brp	Living
Baras	brs	Living
Barasana-Eduria	bsn	Living
Barclayville Grebo	gry	Living
Bardi	bcj	Living
Barein	bva	Living
Bargam	mlp	Living
Bari	bfa	Living
Barí	mot	Living
Bariai	bch	Living
Bariji	bjc	Living
Barikanchi	bxo	Living
Barikewa	jbk	Living
